thickness,x1,y1,z1,x2,y2,z2
4.061552812808831,84.0,72.0,41.0,83.0,72.0,40.0
5.192582403567252,93.0,5.0,48.0,92.0,4.0,49.0
6.041381265149109,17.0,25.0,54.0,18.0,24.0,54.0
4.840797604274313,56.0,60.0,45.0,55.0,61.0,45.0
4.182873156368473,54.0,39.0,56.0,55.0,38.0,57.0
5.9568572125717605,57.0,16.0,53.0,57.0,17.0,54.0
5.692582403567252,10.0,50.0,45.0,9.0,51.0,45.0
5.192582403567252,81.0,54.0,48.0,81.0,55.0,47.0
5.65062229511706,21.0,7.0,50.0,22.0,6.0,51.0
5.9568572125717605,57.0,17.0,54.0,57.0,16.0,53.0
6.4031242374328485,36.0,10.0,49.0,35.0,9.0,50.0
5.32842712474619,71.0,5.0,56.0,71.0,5.0,57.0
2.995352392457285,64.0,33.0,55.0,63.0,33.0,56.0
5.242092160363644,88.0,62.0,49.0,88.0,63.0,49.0
4.406760692720545,30.0,72.0,50.0,31.0,72.0,51.0
4.123105625617661,74.0,80.0,47.0,74.0,81.0,46.0
6.201562118716424,19.0,42.0,60.0,18.0,41.0,61.0
4.357388321059432,77.0,51.0,49.0,76.0,52.0,49.0
4.834144188853106,8.0,72.0,51.0,9.0,72.0,52.0
6.4031242374328485,35.0,9.0,50.0,36.0,10.0,49.0
4.527355824977709,19.0,60.0,52.0,18.0,61.0,53.0
4.406760692720545,31.0,72.0,51.0,30.0,72.0,50.0
6.041381265149109,18.0,24.0,54.0,17.0,25.0,54.0
5.65062229511706,22.0,6.0,51.0,21.0,7.0,50.0
5.047565954136494,95.0,44.0,55.0,96.0,45.0,56.0
4.242640687119285,7.0,47.0,62.0,6.0,48.0,61.0
4.670830100356035,22.0,80.0,50.0,21.0,80.0,51.0
4.670830100356035,21.0,80.0,51.0,22.0,80.0,50.0
5.513552158775966,67.0,63.0,60.0,68.0,62.0,59.0
5.639457476502425,67.0,63.0,60.0,68.0,63.0,59.0
4.527355824977709,18.0,61.0,53.0,19.0,60.0,52.0
4.415517449270126,18.0,61.0,53.0,17.0,62.0,54.0
4.834144188853106,9.0,72.0,52.0,8.0,72.0,51.0
6.836512274343146,84.0,24.0,57.0,83.0,24.0,58.0
7.415892000948709,84.0,24.0,57.0,85.0,25.0,56.0
5.41547594742265,28.0,25.0,57.0,27.0,24.0,58.0
4.415517449270126,17.0,62.0,54.0,18.0,61.0,53.0
6.836512274343146,83.0,24.0,58.0,84.0,24.0,57.0
7.415892000948709,85.0,25.0,56.0,84.0,24.0,57.0
2.995352392457285,63.0,33.0,56.0,64.0,33.0,55.0
5.047565954136494,96.0,45.0,56.0,95.0,44.0,55.0
5.049509756796392,44.0,56.0,57.0,44.0,55.0,58.0
5.513552158775966,68.0,62.0,59.0,67.0,63.0,60.0
5.9568572125717605,68.0,62.0,59.0,68.0,63.0,59.0
5.32842712474619,71.0,5.0,57.0,71.0,5.0,56.0
5.41547594742265,27.0,24.0,58.0,28.0,25.0,57.0
5.0,83.0,4.0,65.0,82.0,4.0,65.0
4.182873156368473,55.0,38.0,57.0,54.0,39.0,56.0
5.049509756796392,44.0,55.0,58.0,44.0,56.0,57.0
4.570810086342821,47.0,76.0,59.0,48.0,77.0,59.0
5.458039891549808,44.0,55.0,61.0,45.0,55.0,62.0
5.639457476502425,68.0,63.0,59.0,67.0,63.0,60.0
5.9568572125717605,68.0,63.0,59.0,68.0,62.0,59.0
5.0990195135927845,67.0,59.0,64.0,68.0,58.0,65.0
4.570810086342821,48.0,77.0,59.0,47.0,76.0,59.0
5.954488324753502,85.0,72.0,60.0,84.0,71.0,61.0
4.242640687119285,6.0,48.0,61.0,7.0,47.0,62.0
4.949489742783178,4.0,64.0,67.0,4.0,63.0,68.0
5.954488324753502,84.0,71.0,61.0,85.0,72.0,60.0
6.201562118716424,18.0,41.0,61.0,19.0,42.0,60.0
4.845207879911715,23.0,36.0,74.0,22.0,36.0,75.0
